,Unnamed: 0,emotion_str,country,tweet,name,alpha-3,country-code,Country,Users (in million),Source,Total Tweets,tweetpm,date,Unnamed: 0,emotion_str,country,tweet,name,alpha-3,country-code,Country,Users (in million),Source,Total Tweets,tweetpm,date,Unnamed: 0,emotion_str,country,tweet,name,alpha-3,country-code,Country,Users (in million),Source,Total Tweets,tweetpm,date,Unnamed: 0,emotion_str,country,tweet,name,alpha-3,country-code,Country,Users (in million),Source,Total Tweets,tweetpm,date,Unnamed: 0,emotion_str,country,tweet,date,name,alpha-3,country-code,Country,Users (in million),Source,Total Tweets,tweetpm
22,22,anger,South Africa,78,South Africa,ZAF,710,South Africa,8.5,Business Tech,27030.0,9.176470588235292,February,22,anger,Republic of the Philippines,168,Republic of the Philippines,PHL,608,Republic of the Philippines,7.15,Statista,11472.0,23.496503496503497,March,22,anger,Republic of the Philippines,114,Republic of the Philippines,PHL,608,Republic of the Philippines,7.15,Statista,11472.0,15.944055944055945,April,22,anger,South Africa,114,South Africa,ZAF,710,South Africa,8.5,Business Tech,27030.0,13.411764705882351,May,22,anger,The Netherlands,9,June,The Netherlands,NLD,528,The Netherlands,2.8,,2970.0,3.2142857142857144
23,23,anger,Spain,24,Spain,ESP,724,Spain,8.4,Statista,4080.0,2.8571428571428568,February,23,anger,Singapore,18,Singapore,SGP,702,Singapore,1.3,,3246.0,13.846153846153845,March,23,anger,Singapore,12,Singapore,SGP,702,Singapore,1.3,,3246.0,9.23076923076923,April,23,anger,Spain,78,Spain,ESP,724,Spain,8.4,Statista,4080.0,9.285714285714283,May,23,anger,Turkey,6,June,Turkey,TUR,792,Turkey,13.65,Statista,1134.0,0.4395604395604396
24,24,anger,Sweden,12,Sweden,SWE,752,Sweden,2.0,,1422.0,6.0,February,24,anger,South Africa,234,South Africa,ZAF,710,South Africa,8.5,Business Tech,27030.0,27.529411764705888,March,24,anger,South Africa,276,South Africa,ZAF,710,South Africa,8.5,Business Tech,27030.0,32.47058823529412,April,24,anger,Sri Lanka,6,Sri Lanka,LKA,144,Sri Lanka,0.5,,1698.0,12.0,May,24,anger,Uganda,18,June,Uganda,UGA,800,,,,,
25,25,anger,Switzerland,6,Switzerland,CHE,756,Switzerland,0.8,Digital report switzerland,1902.0,7.5,February,25,anger,Spain,30,Spain,ESP,724,Spain,8.4,Statista,4080.0,3.571428571428571,March,25,anger,Spain,66,Spain,ESP,724,Spain,8.4,Statista,4080.0,7.857142857142858,April,25,anger,Sweden,12,Sweden,SWE,752,Sweden,2.0,,1422.0,6.0,May,25,anger,United Arab Emirates,12,June,United Arab Emirates,ARE,784,United Arab Emirates,5.21,,4032.0,2.3032629558541267
26,26,anger,Thailand,18,Thailand,THA,764,Thailand,7.35,Statista,2736.0,2.4489795918367347,February,26,anger,Sri Lanka,18,Sri Lanka,LKA,144,Sri Lanka,0.5,,1698.0,36.0,March,26,anger,Sri Lanka,6,Sri Lanka,LKA,144,Sri Lanka,0.5,,1698.0,12.0,April,26,anger,Thailand,12,Thailand,THA,764,Thailand,7.35,Statista,2736.0,1.6326530612244898,May,26,anger,United Kingdom,441,June,United Kingdom,GBR,826,United Kingdom,17.75,Statista,139284.0,24.84507042253521
27,27,anger,The Netherlands,24,The Netherlands,NLD,528,The Netherlands,2.8,,2970.0,8.571428571428571,February,27,anger,Switzerland,24,Switzerland,CHE,756,Switzerland,0.8,Digital report switzerland,1902.0,30.0,March,27,anger,Sweden,6,Sweden,SWE,752,Sweden,2.0,,1422.0,3.0,April,27,anger,Turkey,12,Turkey,TUR,792,Turkey,13.65,Statista,1134.0,0.8791208791208791,May,27,anger,United States,1641,June,United States,USA,840,United States,64.2,Statista,454626.0,25.560747663551396
28,28,anger,Turkey,12,Turkey,TUR,792,Turkey,13.65,Statista,1134.0,0.8791208791208791,February,28,anger,Thailand,12,Thailand,THA,764,Thailand,7.35,Statista,2736.0,1.6326530612244898,March,28,anger,Switzerland,24,Switzerland,CHE,756,Switzerland,0.8,Digital report switzerland,1902.0,30.0,April,28,anger,Uganda,18,Uganda,UGA,800,,,,,,May,52,depressed,Australia,138,June,Australia,AUS,36,Australia,5.0,Statista,22578.0,27.6
29,29,anger,Uganda,12,Uganda,UGA,800,,,,,,February,29,anger,The Netherlands,42,The Netherlands,NLD,528,The Netherlands,2.8,,2970.0,15.000000000000002,March,29,anger,Thailand,6,Thailand,THA,764,Thailand,7.35,Statista,2736.0,0.8163265306122449,April,29,anger,United Arab Emirates,6,United Arab Emirates,ARE,784,United Arab Emirates,5.21,,4032.0,1.151631477927063,May,53,depressed,Belgium,15,June,Belgium,BEL,56,Belgium,1.0,,2268.0,15.0
30,30,anger,United Arab Emirates,18,United Arab Emirates,ARE,784,United Arab Emirates,5.21,,4032.0,3.45489443378119,February,30,anger,Turkey,18,Turkey,TUR,792,Turkey,13.65,Statista,1134.0,1.3186813186813189,March,30,anger,The Netherlands,60,The Netherlands,NLD,528,The Netherlands,2.8,,2970.0,21.42857142857143,April,30,anger,United Kingdom,636,United Kingdom,GBR,826,United Kingdom,17.75,Statista,139284.0,35.83098591549296,May,54,depressed,Brazil,24,June,Brazil,BRA,76,Brazil,14.35,Statista,1734.0,1.6724738675958188
31,31,anger,United Kingdom,300,United Kingdom,GBR,826,United Kingdom,17.75,Statista,139284.0,16.901408450704224,February,31,anger,Uganda,24,Uganda,UGA,800,,,,,,March,31,anger,Turkey,6,Turkey,TUR,792,Turkey,13.65,Statista,1134.0,0.4395604395604396,April,31,anger,United States,1962,United States,USA,840,United States,64.2,Statista,454626.0,30.560747663551396,May,55,depressed,Canada,546,June,Canada,CAN,124,Canada,8.15,Statista,38382.0,66.99386503067484
